epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5522.75,0.91685,0.77938,1.00297,0.86265,0.78672,0.86527,0.70959,0.737,0.6201,0.90234,0.005842,0.005842,0.005842
44,5650.83,0.90768,0.77481,0.99496,0.88255,0.79002,0.86745,0.7077,0.73653,0.6132,0.90103,0.005743,0.005743,0.005743
45,5779.08,0.90953,0.77628,0.99951,0.86198,0.7772,0.86066,0.70771,0.73599,0.6202,0.90133,0.005644,0.005644,0.005644
46,5907.49,0.90959,0.76613,0.99782,0.88089,0.77033,0.86952,0.71166,0.73346,0.60705,0.89873,0.005545,0.005545,0.005545
47,6035.4,0.89378,0.76042,0.99317,0.84939,0.80574,0.86756,0.70919,0.73371,0.61088,0.89873,0.005446,0.005446,0.005446
48,6163.19,0.903,0.75917,0.9954,0.85372,0.80371,0.86675,0.71416,0.72764,0.59451,0.8976,0.005347,0.005347,0.005347
49,6290.98,0.90124,0.75991,0.9919,0.85481,0.80424,0.86925,0.71466,0.73045,0.5944,0.89917,0.005248,0.005248,0.005248
50,6418.81,0.89344,0.75135,0.99153,0.8489,0.81128,0.8722,0.71906,0.72651,0.59299,0.89885,0.005149,0.005149,0.005149
51,6547.02,0.89161,0.75269,0.99169,0.84314,0.81758,0.86955,0.71565,0.72152,0.59135,0.8948,0.00505,0.00505,0.00505
52,6674.81,0.88933,0.744,0.98752,0.86852,0.79385,0.87245,0.71594,0.72458,0.59235,0.89577,0.004951,0.004951,0.004951
53,6803.76,0.89205,0.73499,0.99043,0.86275,0.80596,0.87556,0.72024,0.72793,0.57903,0.89742,0.004852,0.004852,0.004852
54,6935.02,0.90117,0.74523,0.9951,0.85097,0.82185,0.87902,0.72039,0.72515,0.58116,0.89637,0.004753,0.004753,0.004753
55,7063.85,0.88856,0.73042,0.9843,0.8647,0.80722,0.87786,0.7219,0.7223,0.58141,0.89297,0.004654,0.004654,0.004654
56,7192.22,0.88097,0.72675,0.98524,0.86363,0.81562,0.87966,0.7211,0.71927,0.57571,0.89396,0.004555,0.004555,0.004555
57,7320.87,0.88718,0.72967,0.98903,0.86346,0.81031,0.8811,0.72455,0.71958,0.57582,0.89415,0.004456,0.004456,0.004456
58,7449.93,0.88521,0.72184,0.98723,0.87896,0.81135,0.88241,0.72573,0.72014,0.56774,0.89384,0.004357,0.004357,0.004357
59,7578.24,0.87736,0.72291,0.98622,0.87081,0.80309,0.88066,0.72245,0.72292,0.57098,0.89365,0.004258,0.004258,0.004258
60,7706.92,0.88035,0.71958,0.98055,0.87213,0.80817,0.88014,0.72238,0.72145,0.57139,0.89265,0.004159,0.004159,0.004159
61,7835.68,0.87225,0.70778,0.98319,0.88396,0.79912,0.87992,0.72432,0.72051,0.56627,0.89341,0.00406,0.00406,0.00406
62,7964.4,0.86715,0.70969,0.98004,0.87879,0.81203,0.88659,0.73009,0.71714,0.56422,0.89222,0.003961,0.003961,0.003961
63,8093.8,0.86979,0.70735,0.977,0.87488,0.81215,0.88469,0.72785,0.72001,0.56251,0.89175,0.003862,0.003862,0.003862
64,8222.39,0.87169,0.6981,0.97971,0.88002,0.81035,0.88271,0.72763,0.71557,0.55807,0.89291,0.003763,0.003763,0.003763
65,8351.71,0.87466,0.70998,0.97829,0.87802,0.80623,0.88251,0.72817,0.71634,0.56218,0.89107,0.003664,0.003664,0.003664
66,8479.94,0.86203,0.69479,0.97364,0.86612,0.81796,0.88357,0.73052,0.71551,0.55478,0.89005,0.003565,0.003565,0.003565
67,8608.64,0.86682,0.69329,0.97833,0.87926,0.81689,0.88245,0.73172,0.71177,0.55437,0.88963,0.003466,0.003466,0.003466
68,8737.9,0.85992,0.69124,0.97406,0.8713,0.82405,0.88534,0.73047,0.71454,0.55161,0.89024,0.003367,0.003367,0.003367
69,8866.26,0.86241,0.69175,0.97429,0.86823,0.8254,0.88373,0.72733,0.71554,0.55168,0.89003,0.003268,0.003268,0.003268
70,8995.37,0.86501,0.68574,0.97773,0.86812,0.8213,0.88285,0.72744,0.71525,0.55007,0.89029,0.003169,0.003169,0.003169
71,9123.78,0.85957,0.68203,0.97208,0.86743,0.82384,0.88502,0.7289,0.71451,0.54617,0.88893,0.00307,0.00307,0.00307
72,9252.57,0.85596,0.67182,0.9722,0.85547,0.82905,0.88368,0.72884,0.71361,0.54613,0.88878,0.002971,0.002971,0.002971
73,9380.77,0.84654,0.67336,0.97135,0.87994,0.81984,0.88501,0.73097,0.71312,0.54502,0.88894,0.002872,0.002872,0.002872
74,9509.31,0.84172,0.66065,0.96929,0.88143,0.81746,0.8859,0.73092,0.71085,0.5425,0.88883,0.002773,0.002773,0.002773
75,9638.41,0.84065,0.66722,0.96715,0.88086,0.81934,0.88483,0.72995,0.70848,0.54297,0.88796,0.002674,0.002674,0.002674
76,9767.13,0.84571,0.66517,0.96738,0.87828,0.82299,0.88547,0.73171,0.70928,0.54197,0.88716,0.002575,0.002575,0.002575
77,9895.84,0.84557,0.66519,0.96645,0.88502,0.82058,0.88651,0.73099,0.70887,0.54059,0.88673,0.002476,0.002476,0.002476
78,10024.2,0.84395,0.65495,0.97153,0.87969,0.82488,0.88729,0.73147,0.70956,0.53971,0.88694,0.002377,0.002377,0.002377
79,10152.8,0.84008,0.65795,0.96776,0.87818,0.81943,0.88691,0.73218,0.7098,0.53831,0.88689,0.002278,0.002278,0.002278
80,10280.9,0.84143,0.65701,0.96843,0.88388,0.81849,0.88609,0.73263,0.70956,0.53825,0.88724,0.002179,0.002179,0.002179
81,10409.3,0.84001,0.65299,0.96415,0.88595,0.81839,0.88608,0.73177,0.70885,0.53512,0.887,0.00208,0.00208,0.00208
82,10538.2,0.83745,0.65783,0.96619,0.88267,0.82045,0.88655,0.73251,0.70813,0.53451,0.88634,0.001981,0.001981,0.001981
83,10666.7,0.83989,0.64778,0.96411,0.87542,0.82401,0.88563,0.73067,0.7088,0.53571,0.8869,0.001882,0.001882,0.001882
84,10795.8,0.82691,0.64233,0.96281,0.87728,0.82462,0.88728,0.73271,0.71024,0.53504,0.88746,0.001783,0.001783,0.001783
85,10923.9,0.83418,0.64313,0.9621,0.88279,0.82057,0.88802,0.73369,0.70944,0.53246,0.88703,0.001684,0.001684,0.001684
86,11053.3,0.83424,0.63691,0.96534,0.88354,0.81619,0.88884,0.73363,0.70887,0.53155,0.88689,0.001585,0.001585,0.001585
87,11182.5,0.8298,0.63827,0.95993,0.87071,0.82841,0.89018,0.73487,0.70864,0.53068,0.88684,0.001486,0.001486,0.001486
88,11311.4,0.82337,0.62634,0.96297,0.87972,0.82575,0.89029,0.73582,0.70773,0.53059,0.88676,0.001387,0.001387,0.001387
89,11440.1,0.82212,0.63022,0.96067,0.89596,0.809,0.88976,0.73544,0.7071,0.53131,0.88641,0.001288,0.001288,0.001288
90,11568.9,0.81662,0.62918,0.95765,0.87274,0.82517,0.889,0.7344,0.70767,0.53158,0.88626,0.001189,0.001189,0.001189
91,11731.2,0.80602,0.53713,0.95939,0.88488,0.8142,0.88886,0.73434,0.70924,0.53178,0.88669,0.00109,0.00109,0.00109
92,11859,0.801,0.5347,0.95975,0.88669,0.81692,0.89004,0.73565,0.71043,0.52943,0.88699,0.000991,0.000991,0.000991
93,11987,0.80008,0.53204,0.95918,0.88976,0.81724,0.89024,0.73542,0.71177,0.52938,0.88735,0.000892,0.000892,0.000892
94,12115.2,0.79359,0.52764,0.95754,0.88602,0.82168,0.89115,0.73577,0.71246,0.52988,0.88735,0.000793,0.000793,0.000793
95,12243.5,0.79188,0.51598,0.95593,0.88724,0.82336,0.8911,0.7349,0.71277,0.52993,0.88725,0.000694,0.000694,0.000694
96,12371.5,0.79269,0.51822,0.95764,0.88812,0.82155,0.89144,0.73422,0.71253,0.52907,0.88691,0.000595,0.000595,0.000595
97,12499.3,0.7852,0.51245,0.95285,0.88396,0.82348,0.89053,0.73415,0.71271,0.5295,0.88703,0.000496,0.000496,0.000496
98,12627.2,0.78421,0.51396,0.95239,0.87777,0.82993,0.89032,0.73382,0.71304,0.5298,0.88703,0.000397,0.000397,0.000397
99,12755.3,0.77598,0.50854,0.95055,0.87987,0.82724,0.89097,0.73397,0.71309,0.52968,0.88699,0.000298,0.000298,0.000298
100,12883.1,0.78409,0.50845,0.95264,0.88095,0.82477,0.89076,0.73416,0.71309,0.52929,0.88695,0.000199,0.000199,0.000199
